word,length,minimum_age
routine,7,6
running,7,6
satisfy,7,6
savings,7,6
scholar,7,6
science,7,6
scratch,7,6
section,7,6
segment,7,6
serious,7,6
servant,7,6
service,7,6
session,7,6
setting,7,6
seventh,7,6
several,7,6
shelter,7,6
shocked,7,6
shorter,7,6
showing,7,6
silence,7,6
similar,7,6
sincere,7,6
singing,7,6
sitting,7,6
sixteen,7,6
skilled,7,6
slender,7,6
smaller,7,6
smoking,7,6
society,7,6
soldier,7,6
somehow,7,6
someone,7,6
special,7,6
species,7,6
sponsor,7,6
stadium,7,6
stamped,7,6
started,7,6
station,7,6
staying,7,6
strange,7,6
stretch,7,6
student,7,6
subject,7,6
succeed,7,6
success,7,6
suggest,7,6
summary,7,6
sunrise,7,6
support,7,6
suppose,7,6
supreme,7,6
surface,7,6
surgery,7,6
surplus,7,6
surpass,7,6
surround,7,6
survive,7,6
suspect,7,6
suspend,7,6
sweater,7,6
teacher,7,6
tension,7,6
terrible,7,6
testing,7,6
texture,7,6
theatre,7,6
therapy,7,6
thereby,7,6
thermal,7,6
thought,7,6
through,7,6
thunder,7,6
tonight,7,6
totally,7,6
touched,7,6
tourism,7,6
towards,7,6
tracker,7,6
trading,7,6
traffic,7,6
trainer,7,6
trouble,7,6
trusted,7,6
turning,7,6
typical,7,6
uniform,7,6
unknown,7,6
unusual,7,6
upgrade,7,6
upright,7,6
upstairs,7,6
variety,7,6
various,7,6
vehicle,7,6
venture,7,6
version,7,6
veteran,7,6
victory,7,6
village,7,6
violent,7,6
virtual,7,6
visible,7,6
visitor,7,6
waiting,7,6
walking,7,6
wanting,7,6
warning,7,6
warfare,7,6
warrant,7,6
warrior,7,6
washing,7,6
wealthy,7,6
weather,7,6
website,7,6
wedding,7,6
weekend,7,6
welcome,7,6
welfare,7,6
western,7,6
whereas,7,6
whether,7,6
whisper,7,6
whoever,7,6
wishing,7,6
without,7,6
witness,7,6
working,7,6
worried,7,6
worship,7,6
writing,7,6
written,7,6
younger,7,6
yourself,7,6
